answer,correct_answer,score,length
John Cusack,John Cusack,1.0,11
John Goodman,John Goodman,1.0,12
JohncGoodman,John Goodman,0.92,12
John Hawkes,John Hawkes,1.0,11
John Hawkes,John Hawkes,1.0,11
John Leguizamo,John Leguizamo,1.0,14
John Leguizamo,John Leguizamo,1.0,14
John Malkovich,John Malkovich,1.0,14
John Malkovich,John Malkovich,1.0,14
John nravolta,John Travolta,0.92,13
John Tratolta,John Travolta,0.92,13
John Turturro,John Turturro,1.0,13
John Turturro,John Turturro,1.0,13
Johnny Depp,Johnny Depp,1.0,11
Johnny Depp,Johnny Depp,1.0,11
Jo Hamm,Jon Hamm,0.93,7
Jon Hamm,Jon Hamm,1.0,8
Jon Voight,Jon Voight,1.0,10
Jon Voight,Jon Voight,1.0,10
Jonaf Hill,Jonah Hill,0.9,10
Jonah Hill,Jonah Hill,1.0,10
JosephGordon-Levitt,Joseph Gordon-Levitt,0.97,19
Joseph Gordon-Levitt,Joseph Gordon-Levitt,1.0,20
Josh Brolin,Josh Brolin,1.0,11
Josh Brolin,Josh Brolin,1.0,11
Jude Law,Jude Law,1.0,8
Jude Law,Jude Law,1.0,8
Judi Dench,Judi Dench,1.0,10
Judi Dench,Judi Dench,1.0,10
Julia Roberts,Julia Roberts,1.0,13
Julia Robecrts,Julia Roberts,0.96,14
Julianne Moore,Julianne Moore,1.0,14
Julianne Moore,Julianne Moore,1.0,14
Juliette Binoche,Juliette Binoche,1.0,16
Juliette Binoche,Juliette Binoche,1.0,16
Kate Hudson,Kate Hudson,1.0,11
Kate Hudson,Kate Hudson,1.0,11
Kate Winslet,Kate Winslet,1.0,12
Kate Winslet,Kate Winslet,1.0,12
Kathleen Turner,Kathleen Turner,1.0,15
Kathleen Turner,Kathleen Turner,1.0,15
Kathy Bates,Kathy Bates,1.0,11
Kathy Bates,Kathy Bates,1.0,11
Keanu Reeves,Keanu Reeves,1.0,12
Keanu Reeqves,Keanu Reeves,0.96,13
Keira Knightley,Keira Knightley,1.0,15
Keira Knightley,Keira Knightley,1.0,15
Kelly MacDonald,Kelly MacDonald,1.0,15
Kellw Maconald,Kelly MacDonald,0.9,14
Kenneth Branagh,Kenneth Branagh,1.0,15
Kenneth Branagh,Kenneth Branagh,1.0,15
Kevin Bacon,Kevin Bacon,1.0,11
Kevin Bacon,Kevin Bacon,1.0,11
Kevin Costner,Kevin Costner,1.0,13
Kevin Costner,Kevin Costner,1.0,13
Kvin Jamoes,Kevin James,0.91,11
Kevin pames,Kevin James,0.91,11
Kevin Spacey,Kevin Spacey,1.0,12
Kevin Spacey,Kevin Spacey,1.0,12
Kiefer Sutherland,Kiefer Sutherland,1.0,17
Kiefer Sutherland,Kiefer Sutherland,1.0,17
Kim Basinger,Kim Basinger,1.0,12
Kim Basinger,Kim Basinger,1.0,12
Kirsten uDnst,Kirsten Dunst,0.92,13
Kirsten Dunst,Kirsten Dunst,1.0,13
Kristin Scott Thomas,Kristin Scott Thomas,1.0,20
Kristin Scott Thuemeas,Kristin Scott Thomas,0.9,22
Kurt Russell,Kurt Russell,1.0,12
Kurt Russell,Kurt Russell,1.0,12
Kyle MacLachlan,Kyle MacLachlan,1.0,15
Kyle MacLachlan,Kyle MacLachlan,1.0,15
Laura Dern,Laura Dern,1.0,10
Laura Dern,Laura Dern,1.0,10
Laura Linney,Laura Linney,1.0,12
Laura Linney,Laura Linney,1.0,12
Leonardo DiCaprio,Leonardo DiCaprio,1.0,17
Leonardo DiCaprio,Leonardo DiCaprio,1.0,17
Liam Neeson,Liam Neeson,1.0,11
Liam Neson,Liam Neeson,0.95,10
Liev Schreiber,Liev Schreiber,1.0,14
Liev Schreiber,Liev Schreiber,1.0,14
Lindsay Lohan,Lindsay Lohan,1.0,13
Lindsay Lohan,Lindsay Lohan,1.0,13
Liv Tyler,Liv Tyler,1.0,9
Liv Tyler,Liv Tyler,1.0,9
Lucy Liu,Lucy Liu,1.0,8
Lucy Liu,Lucy Liu,1.0,8
Macaulay Culkin,Macaulay Culkin,1.0,15
Machaulay Cuzkin,Macaulay Culkin,0.9,16
Maggie Gyllenhaal,Maggie Gyllenhaal,1.0,17
Maggie Gyllenhaal,Maggie Gyllenhaal,1.0,17
Malcylm McDowell,Malcolm McDowell,0.94,16
MalcolmfvMcDowell,Malcolm McDowell,0.91,17
Marion Coeilllard,Marion Cotillard,0.91,17
Marion Cotillard,Marion Cotillard,1.0,16
Marise Tomei,Marisa Tomei,0.92,12
Marisa Tomei,Marisa Tomei,1.0,12
Mark Ruffalo,Mark Ruffalo,1.0,12
Mark Ruffalo,Mark Ruffalo,1.0,12
Mark Wahlberg,Mark Wahlberg,1.0,13
Mark Wahlberg,Mark Wahlberg,1.0,13
Martin Lawrence,Martin Lawrence,1.0,15
Martin Lawrence,Martin Lawrence,1.0,15
Martin Sheen,Martin Sheen,1.0,12
Martin Sheen,Martin Sheen,1.0,12
Mary Steenburgen,Mary Steenburgen,1.0,16
Mary Steenburgen,Mary Steenburgen,1.0,16
Mary-Louise Parker,Mary-Louise Parker,1.0,18
Mary-Louise Parker,Mary-Louise Parker,1.0,18
Matt Damon,Matt Damon,1.0,10
Matt Dgmon,Matt Damon,0.9,10
Matthew Broderick,Matthew Broderick,1.0,17
Matthew Broderick,Matthew Broderick,1.0,17
Meg Ryan,Meg Ryan,1.0,8
Meg Ryan,Meg Ryan,1.0,8
Mel Gihbson,Mel Gibson,0.95,11
Mel Gibson,Mel Gibson,1.0,10
Meryl Streep,Meryl Streep,1.0,12
Meryl Streep,Meryl Streep,1.0,12
Michael Douglas,Michael Douglas,1.0,15
Micheael Douglsa,Michael Douglas,0.9,16
ichael Fassbeneder,Michael Fassbender,0.94,18
Michael Fassbender,Michael Fassbender,1.0,18
Michael J. Fox,Michael J. Fox,1.0,14
Michael J. Fox,Michael J. Fox,1.0,14
Michael Keaton,Michael Keaton,1.0,14
Michael Keaton,Michael Keaton,1.0,14
Michael Shannon,Michael Shannon,1.0,15
Michael Shannon,Michael Shannon,1.0,15
Michelle Pfeiffer,Michelle Pfeiffer,1.0,17
Michelle Pfeiffer,Michelle Pfeiffer,1.0,17
Mickey Rourke,Mickey Rourke,1.0,13
Mickey Rourke,Mickey Rourke,1.0,13
Mike Myers,Mike Myers,1.0,10
Mike Myers,Mike Myers,1.0,10
Minnie Driver,Minnie Driver,1.0,13
Minnie Driver,Minnie Driver,1.0,13
Mira Sorvino,Mira Sorvino,1.0,12
Mira Sorvino,Mira Sorvino,1.0,12
Mirana Rihardson,Miranda Richardson,0.94,16
Miranda Richardson,Miranda Richardson,1.0,18
Morgan Freeman,Morgan Freeman,1.0,14
Morgan Freqmban,Morgan Freeman,0.9,15
Naomi Watts,Naomi Watts,1.0,11
Naomi Watts,Naomi Watts,1.0,11
Natalie Portman,Natalie Portman,1.0,15
Natalie Portman,Natalie Portman,1.0,15
Nathan Lane,Nathan Lane,1.0,11
Nathan Lane,Nathan Lane,1.0,11
Nicholas Cage,Nicholas Cage,1.0,13
Nicholas Cage,Nicholas Cage,1.0,13
Nick Nolte,Nick Nolte,1.0,10
Nick Nolte,Nick Nolte,1.0,10
Nicole Kidman,Nicole Kidman,1.0,13
Nicole Kidman,Nicole Kidman,1.0,13
Oliver Platt,Oliver Platt,1.0,12
Oliver Platt,Oliver Platt,1.0,12
Orlado Bloom,Orlando Bloom,0.96,12
Orlando Bloom,Orlando Bloom,1.0,13
Owen Wilson,Owen Wilson,1.0,11
Owen Wislon,Owen Wilson,0.91,11
Patricia Arquette,Patricia Arquette,1.0,17
Patricia Arquette,Patricia Arquette,1.0,17
Paul Dano,Paul Dano,1.0,9
Paul Dano,Paul Dano,1.0,9
Paul Giamatti,Paul Giamatti,1.0,13
Paul Giamatti,Paul Giamatti,1.0,13
Paul Newman,Paul Newman,1.0,11
Paul Newamn,Paul Newman,0.91,11
Paul Rudd,Paul Rudd,1.0,9
Pul Rudd,Paul Rudd,0.94,8
Penelope Cruz,Penelope Cruz,1.0,13
Penelope Cruz,Penelope Cruz,1.0,13
Peter Coyote,Peter Coyote,1.0,12
Peter Coyote,Peter Coyote,1.0,12
Peter Gallagher,Peter Gallagher,1.0,15
Peter Gallagher,Peter Gallagher,1.0,15
Peter O'toole,Peter O'toole,1.0,13
Peter O'toole,Peter O'toole,1.0,13
Peter Sarsgaard,Peter Sarsgaard,1.0,15
Peter Sarsgaard,Peter Sarsgaard,1.0,15
Philip Seymour Hoffman,Philip Seymour Hoffman,1.0,22
Philip Seymour Hoffman,Philip Seymour Hoffman,1.0,22
Pierce Brosnan,Pierce Brosnan,1.0,14
Pierce Brosnan,Pierce Brosnan,1.0,14
Rachel McAdams,Rachel McAdams,1.0,14
Rachel McAdams,Rachel McAdams,1.0,14
Ralph Fiennes,Ralph Fiennes,1.0,13
Ralph Fiednes,Ralph Fiennes,0.92,13
Reese Witherspoon,Reese Witherspoon,1.0,17
Reesxe Witherspoon,Reese Witherspoon,0.97,18
Rene Russo,Rene Russo,1.0,10
Renu Russo,Rene Russo,0.9,10
Renee Zellweger,Renee Zellweger,1.0,15
Renee Zellweger,Renee Zellweger,1.0,15
RichardGere,Richard Gere,0.96,11
Richard Geer,Richard Gere,0.92,12
Ricky Gervais,Ricky Gervais,1.0,13
Ricky Gervais,Ricky Gervais,1.0,13
Rob Lowe,Rob Lowe,1.0,8
Ro Lowe,Rob Lowe,0.93,7
Rob Schneider,Rob Schneider,1.0,13
Rob Schneider,Rob Schneider,1.0,13
Robert De Niro,Robert De Niro,1.0,14
Robert De Niro,Robert De Niro,1.0,14
Robert Downey Jr.,Robert Downey Jr.,1.0,17
Robert Downey Jr.,Robert Downey Jr.,1.0,17
Roert Duval,Robert Duvall,0.92,11
Robet Duvall,Robert Duvall,0.96,12
Robert Redford,Robert Redford,1.0,14
Robert Redford,Robert Redford,1.0,14
Robin Williams,Robin Williams,1.0,14
Robin Williams,Robin Williams,1.0,14
Roger Moore,Roger Moore,1.0,11
Rogewr Moore,Roger Moore,0.96,12
Rosanna Arquette,Rosanna Arquette,1.0,16
Rosanna Arquette,Rosanna Arquette,1.0,16
Rosie Perez,Rosie Perez,1.0,11
Roise Perez,Rosie Perez,0.91,11
Roy Snheider,Roy Scheider,0.92,12
Roy Scheider,Roy Scheider,1.0,12
Russell Crowe,Russell Crowe,1.0,13
Russell Crowe,Russell Crowe,1.0,13
Ryan Gosling,Ryan Gosling,1.0,12
Ryan Gosling,Ryan Gosling,1.0,12
Ryan Reynolds,Ryan Reynolds,1.0,13
Ryan Reynolds,Ryan Reynolds,1.0,13
Sally Fields,Sally Fields,1.0,12
Sally Fielss,Sally Fields,0.92,12
Salma Hayek,Salma Hayek,1.0,11
Salma Hayek,Salma Hayek,1.0,11
Sam Shepard,Sam Shepard,1.0,11
Sam Shepadr,Sam Shepard,0.91,11
Sam Worthington,Sam Worthington,1.0,15
Sam Worthington,Sam Worthington,1.0,15
Samuel L. Jackson,Samuel L. Jackson,1.0,17
Samuel L. Jackson,Samuel L. Jackson,1.0,17
Sandra Bullock,Sandra Bullock,1.0,14
Sandra Bullock,Sandra Bullock,1.0,14
Sarah Jessica Parker,Sarah Jessica Parker,1.0,20
Sarah Jessica Parker,Sarah Jessica Parker,1.0,20
Scalrett Johansson,Scarlett Johansson,0.94,18
Sparlett Johansson,Scarlett Johansson,0.94,18
Sean Connery,Sean Connery,1.0,12
Saen Connery,Sean Connery,0.92,12
Sean Penn,Sean Penn,1.0,9
Sean enn,Sean Penn,0.94,8
Seth Rogen,Seth Rogen,1.0,10
Seth Rogen,Seth Rogen,1.0,10
Sharon Stone,Sharon Stone,1.0,12
SharonS tone,Sharon Stone,0.92,12
Sidney Poitier,Sidney Poitier,1.0,14
Sidney Poitier,Sidney Poitier,1.0,14
Sigourney Weaver,Sigourney Weaver,1.0,16
Sigourney Weaver,Sigourney Weaver,1.0,16
Sissy Spacek,Sissy Spacek,1.0,12
Sissy Spacek,Sissy Spacek,1.0,12
Stanley Tucci,Stanley Tucci,1.0,13
Stanley Tucci,Stanley Tucci,1.0,13
Steve Buscemi,Steve Buscemi,1.0,13
Steve Buscemi,Steve Buscemi,1.0,13
Stev Carell,Steve Carell,0.96,11
Steve Carell,Steve Carell,1.0,12
Steve Martin,Steve Martin,1.0,12
Steve Martin,Steve Martin,1.0,12
Steven Seagal,Steven Seagal,1.0,13
Stevenp Seagal,Steven Seagal,0.96,14
Sylvese rStallone,Sylvester Stallone,0.91,17
Sylvester Stallone,Sylvester Stallone,1.0,18
Tea Leoni,Tea Leoni,1.0,9
Tea Leoni,Tea Leoni,1.0,9
Tilda Swinton,Tilda Swinton,1.0,13
Tilaa Swinton,Tilda Swinton,0.92,13
Tim Blake Nelson,Tim Blake Nelson,1.0,16
Tim Blake Nelson,Tim Blake Nelson,1.0,16
Tim Robbinst,Tim Robbins,0.96,12
Tim Robbins,Tim Robbins,1.0,11
Timothy Dalton,Timothy Dalton,1.0,14
Timothy Daltno,Timothy Dalton,0.93,14
Tobet Maguire,Tobey Maguire,0.92,13
Tobey Maguire,Tobey Maguire,1.0,13
Tom Arnold,Tom Arnold,1.0,10
Tom Arnold,Tom Arnold,1.0,10
Tom Cruise,Tom Cruise,1.0,10
Tom Crise,Tom Cruise,0.95,9
Tom Hanks,Tom Hanks,1.0,9
Tom Hanks,Tom Hanks,1.0,9
Tom Hardy,Tom Hardy,1.0,9
Tom Hard,Tom Hardy,0.94,8
Tom Wilkinson,Tom Wilkinson,1.0,13
Tom Wilkinson,Tom Wilkinson,1.0,13
Tommy Lee Jones,Tommy Lee Jones,1.0,15
Tommy Lee Jones,Tommy Lee Jones,1.0,15
Toni Collettse,Toni Collette,0.96,14
Toni Collette,Toni Collette,1.0,13
Tracey Ullman,Tracey Ullman,1.0,13
Tracey Ullman,Tracey Ullman,1.0,13
Uma Thurman,Uma Thurman,1.0,11
Um aThurman,Uma Thurman,0.91,11
Val iKlmer,Val Kilmer,0.9,10
Val Kilmer,Val Kilmer,1.0,10
Varessa edgrave,Vanessa Redgrave,0.9,15
Vanessa Redgrave,Vanessa Redgrave,1.0,16
Viggo Mortensen,Viggo Mortensen,1.0,15
Viggo Mortensen,Viggo Mortensen,1.0,15
Vince Vaughn,Vince Vaughn,1.0,12
Vince Vaughn,Vince Vaughn,1.0,12
Will Ferrell,Will Ferrell,1.0,12
Will Ferrell,Will Ferrell,1.0,12
Will Smith,Will Smith,1.0,10
Will Smith,Will Smith,1.0,10
Willem Dafe,Willem Dafoe,0.96,11
Willem Dafoe,Willem Dafoe,1.0,12
William Hurt,William Hurt,1.0,12
William Hurt,William Hurt,1.0,12
Wiona Ryder,Winona Ryder,0.96,11
Winona Ryder,Winona Ryder,1.0,12
Woody Allen,Woody Allen,1.0,11
Woody Alen,Woody Allen,0.95,10
Zach Galifianakis,Zach Galifianakis,1.0,17
Zach Galifianakis,Zach Galifianakis,1.0,17
